municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Altenglan,66885,Rheinland-Pfalz,Rheinland-Pfalz,49.550000,7.466700,"Altenglan, 66885, Rheinland-Pfalz, Germany",Croissy-sur-Seine,Frankreich,France,Europa,Europe,1990,p,48.879200,2.138400,"Croissy-sur-Seine, 78290, Yvelines, France"
Altenglan,66885,Rheinland-Pfalz,Rheinland-Pfalz,49.550000,7.466700,"Altenglan, 66885, Rheinland-Pfalz, Germany",Danbury,Großbritannien,United Kingdom,Europa,Europe,1982,p,51.717748,0.576667,"Danbury, CM3 4NQ, Essex, United Kingdom"
Altenholz,24161,Schleswig-Holstein,Schleswig-Holstein,54.400000,10.133300,"Altenholz, 24161, Schleswig-Holstein, Germany",Aabybro,Dänemark,Denmark,Europa,Europe,1989,p,55.939705,9.318333,Denmark
Altenholz,24161,Schleswig-Holstein,Schleswig-Holstein,54.400000,10.133300,"Altenholz, 24161, Schleswig-Holstein, Germany",Châteaurenard,Frankreich,France,Europa,Europe,1991,p,47.964359,7.307174,"Europe, Rouffach, 68250, Haut-Rhin, France"
Altenkirchen (Verbandsgemeinde),57610,Rheinland-Pfalz,Rheinland-Pfalz,50.688948,7.668603,"57610, Rheinland-Pfalz, Germany",Olszanka (Alzenau),Polen,Poland,Europa,Europe,2000,k,50.773900,17.446100,"Olszanka, Opolskie, Poland"
Altenkirchen (Verbandsgemeinde),57610,Rheinland-Pfalz,Rheinland-Pfalz,50.688948,7.668603,"57610, Rheinland-Pfalz, Germany","Krapkowice, Kreis (Krappitz)",Polen,Poland,Europa,Europe,2000,p,50.478400,17.957400,"Krapkowice, Opolskie, Poland"
Altenkirchen (Verbandsgemeinde),57610,Rheinland-Pfalz,Rheinland-Pfalz,50.688948,7.668603,"57610, Rheinland-Pfalz, Germany",Tarbes,Frankreich,France,Europa,Europe,1972,p,43.232800,0.074400,"Tarbes, 65000, Hautes-Pyrénées, France"
Altenkirchen (Westerwald),57610,Rheinland-Pfalz,Rheinland-Pfalz,50.685900,7.641800,"Altenkirchen (Westerwald), 57610, Rheinland-Pfalz, Germany",Olszanka (Alzenau),Polen,Poland,Europa,Europe,2000,k,50.773900,17.446100,"Olszanka, Opolskie, Poland"
Altenkirchen (Westerwald),57610,Rheinland-Pfalz,Rheinland-Pfalz,50.685900,7.641800,"Altenkirchen (Westerwald), 57610, Rheinland-Pfalz, Germany",Tarbes,Frankreich,France,Europa,Europe,1972,p,43.232800,0.074400,"Tarbes, 65000, Hautes-Pyrénées, France"
Altenkirchen (Westerwald) (Kreis),57610,Rheinland-Pfalz,Rheinland-Pfalz,50.685900,7.641800,"Altenkirchen (Westerwald), 57610, Rheinland-Pfalz, Germany",Krapkowice-Prudnik (Krappitz-Neustadt),Polen,Poland,Europa,Europe,1996,k,50.306000,17.568700,"Prudnik, Opolskie, Poland"
Altenkunstadt,96264,Bayern,Bavaria,50.125000,11.250300,"Altenkunstadt, 96264, Bayern, Germany",Quéven,Frankreich,France,Europa,Europe,2006,p,47.964359,7.307174,"Europe, Rouffach, 68250, Haut-Rhin, France"
Altensteig,72213,Baden-Württemberg,Baden-Wurttemberg,48.586500,8.603900,"Altensteig, 72213, Baden-Württemberg, Germany",Bourg-Saint-Maurice,Frankreich,France,Europa,Europe,1965,p,45.617200,6.769000,"Bourg-Saint-Maurice, 73700, Savoie, France"
